emoji,name,group,subgroup,literal,clarity,keep
🤛🏾,left-facing fist: medium-dark skin tone,People & Body,hand-fingers-closed,left-fist,,
🤛🏿,left-facing fist: dark skin tone,People & Body,hand-fingers-closed,left-fist,,
🤜,right-facing fist,People & Body,hand-fingers-closed,right-fist,,
🤜🏻,right-facing fist: light skin tone,People & Body,hand-fingers-closed,right-fist,,
🤜🏼,right-facing fist: medium-light skin tone,People & Body,hand-fingers-closed,right-fist,,
🤜🏽,right-facing fist: medium skin tone,People & Body,hand-fingers-closed,right-fist,,
🤜🏾,right-facing fist: medium-dark skin tone,People & Body,hand-fingers-closed,right-fist,,
🤜🏿,right-facing fist: dark skin tone,People & Body,hand-fingers-closed,right-fist,,
👏,clapping hands,People & Body,hands,clap,,
👏🏻,clapping hands: light skin tone,People & Body,hands,clap,,
👏🏼,clapping hands: medium-light skin tone,People & Body,hands,clap,,
